id,dive_start,dive_end,max_depth
huey,2017-03-08T16:13:40Z,2017-03-08T16:14:04Z,1.7
huey,2017-03-08T16:21:32Z,2017-03-08T16:23:36Z,2.2
huey,2017-03-08T16:24:16Z,2017-03-08T16:26:44Z,2.8
huey,2017-03-08T16:27:24Z,2017-03-08T16:29:52Z,3.4
huey,2017-03-08T16:30:12Z,2017-03-08T16:30:56Z,3.1
huey,2017-03-08T16:34:40Z,2017-03-08T16:36:28Z,3.6
huey,2017-03-08T16:37:12Z,2017-03-08T16:37:32Z,2.2
huey,2017-03-08T16:37:48Z,2017-03-08T16:38:04Z,1.6
huey,2017-03-08T16:38:32Z,2017-03-08T16:41:08Z,4.3
huey,2017-03-08T16:41:40Z,2017-03-08T16:42:08Z,2.8
huey,2017-03-08T16:42:48Z,2017-03-08T16:44:04Z,4.5
huey,2017-03-08T16:44:16Z,2017-03-08T16:45:08Z,4
huey,2017-03-08T16:45:20Z,2017-03-08T16:45:40Z,2.6
huey,2017-03-08T16:45:56Z,2017-03-08T16:46:44Z,2.2
huey,2017-03-08T16:47:24Z,2017-03-08T16:49:40Z,4.3
huey,2017-03-08T16:50:12Z,2017-03-08T16:51:52Z,4.1
huey,2017-03-08T16:52:16Z,2017-03-08T16:53:20Z,4.2
huey,2017-03-08T16:53:44Z,2017-03-08T16:54:12Z,4.7
huey,2017-03-08T16:54:32Z,2017-03-08T16:55:20Z,5.1
huey,2017-03-08T16:55:40Z,2017-03-08T16:56:08Z,2.1
huey,2017-03-08T16:56:36Z,2017-03-08T16:57:36Z,2.5
huey,2017-03-08T16:58:16Z,2017-03-08T16:59:16Z,3.9
huey,2017-03-08T16:59:52Z,2017-03-08T17:00:28Z,2.7
huey,2017-03-08T17:02:20Z,2017-03-08T17:03:24Z,2.8
huey,2017-03-08T17:03:44Z,2017-03-08T17:04:36Z,3.2
huey,2017-03-08T17:05:12Z,2017-03-08T17:06:12Z,2.2
huey,2017-03-08T17:59:44Z,2017-03-08T17:59:56Z,1.8
huey,2017-03-08T18:00:00Z,2017-03-08T18:00:32Z,1.8
huey,2017-03-08T18:00:36Z,2017-03-08T18:00:52Z,1.7
huey,2017-03-08T18:00:56Z,2017-03-08T18:01:20Z,1.7
huey,2017-03-08T18:01:24Z,2017-03-08T18:01:40Z,1.7
huey,2017-03-08T18:01:44Z,2017-03-08T18:02:04Z,1.6
huey,2017-03-08T18:02:12Z,2017-03-08T18:02:36Z,1.7
huey,2017-03-08T18:02:40Z,2017-03-08T18:03:08Z,1.7
huey,2017-03-08T18:06:16Z,2017-03-08T18:06:28Z,1.6
huey,2017-03-08T18:15:20Z,2017-03-08T18:20:52Z,2.8
huey,2017-03-08T18:21:48Z,2017-03-08T18:28:00Z,2.6
huey,2017-03-08T18:28:52Z,2017-03-08T18:33:48Z,3.7
huey,2017-03-08T18:34:52Z,2017-03-08T18:37:56Z,4.1
huey,2017-03-08T18:38:48Z,2017-03-08T18:45:12Z,3.8
huey,2017-03-08T18:46:24Z,2017-03-08T18:51:36Z,2.9
huey,2017-03-08T18:52:40Z,2017-03-08T18:56:36Z,3.1
huey,2017-03-08T18:57:40Z,2017-03-08T19:00:32Z,3.2
huey,2017-03-08T19:01:28Z,2017-03-08T19:04:12Z,3.4
huey,2017-03-08T19:05:12Z,2017-03-08T19:09:16Z,3.4
huey,2017-03-08T19:10:28Z,2017-03-08T19:13:16Z,3.5
huey,2017-03-08T19:14:04Z,2017-03-08T19:15:36Z,3.4
huey,2017-03-08T19:16:44Z,2017-03-08T19:20:48Z,3.4
huey,2017-03-08T19:22:04Z,2017-03-08T19:26:16Z,3.4
huey,2017-03-08T19:27:24Z,2017-03-08T19:31:16Z,3.4
huey,2017-03-08T19:32:16Z,2017-03-08T19:36:08Z,3.4
huey,2017-03-08T19:37:16Z,2017-03-08T19:41:48Z,3.6
huey,2017-03-08T19:42:52Z,2017-03-08T19:47:12Z,3.9
huey,2017-03-08T19:48:12Z,2017-03-08T19:54:36Z,3.9
huey,2017-03-08T19:55:36Z,2017-03-08T20:00:32Z,4.2
huey,2017-03-08T20:01:32Z,2017-03-08T20:06:40Z,4.8
huey,2017-03-08T20:07:36Z,2017-03-08T20:11:40Z,4.7
huey,2017-03-08T20:12:36Z,2017-03-08T20:17:12Z,4.6
huey,2017-03-08T20:18:08Z,2017-03-08T20:23:40Z,4.6
huey,2017-03-08T20:24:40Z,2017-03-08T20:29:44Z,4.4
huey,2017-03-08T20:30:36Z,2017-03-08T20:37:36Z,4.4
huey,2017-03-08T20:38:44Z,2017-03-08T20:45:40Z,4.3
huey,2017-03-08T20:46:48Z,2017-03-08T20:51:40Z,4.3
huey,2017-03-08T20:52:36Z,2017-03-08T20:57:32Z,5.2
huey,2017-03-08T20:58:32Z,2017-03-08T21:03:36Z,3.7
huey,2017-03-08T21:04:40Z,2017-03-08T21:10:16Z,3.1
huey,2017-03-08T21:11:12Z,2017-03-08T21:14:08Z,4.7
huey,2017-03-08T21:15:00Z,2017-03-08T21:20:56Z,5.4
huey,2017-03-08T21:21:52Z,2017-03-08T21:28:40Z,5.6
huey,2017-03-08T21:29:32Z,2017-03-08T21:35:48Z,5.2
huey,2017-03-08T21:36:36Z,2017-03-08T21:44:04Z,7
huey,2017-03-08T21:45:04Z,2017-03-08T21:51:48Z,7
huey,2017-03-08T21:52:48Z,2017-03-08T21:59:36Z,7.1
huey,2017-03-08T22:00:36Z,2017-03-08T22:07:12Z,7.5
huey,2017-03-08T22:08:12Z,2017-03-08T22:14:08Z,8.1
huey,2017-03-08T22:15:12Z,2017-03-08T22:20:52Z,8.7
huey,2017-03-08T22:21:44Z,2017-03-08T22:27:44Z,9.4
huey,2017-03-08T22:28:44Z,2017-03-08T22:35:08Z,9.9
huey,2017-03-08T22:36:04Z,2017-03-08T22:41:48Z,10.4
huey,2017-03-08T22:42:40Z,2017-03-08T22:48:36Z,10.9
huey,2017-03-08T22:49:28Z,2017-03-08T22:55:40Z,11.9
huey,2017-03-08T22:56:36Z,2017-03-08T23:03:04Z,13.7
huey,2017-03-08T23:03:56Z,2017-03-08T23:04:56Z,14
huey,2017-03-08T23:06:44Z,2017-03-08T23:08:32Z,14.2
huey,2017-03-08T23:10:00Z,2017-03-08T23:14:12Z,15
huey,2017-03-08T23:15:16Z,2017-03-08T23:15:56Z,14.8
huey,2017-03-08T23:17:56Z,2017-03-08T23:19:36Z,15.4
huey,2017-03-08T23:20:12Z,2017-03-08T23:21:12Z,15.2
huey,2017-03-08T23:22:44Z,2017-03-08T23:24:52Z,15.8
huey,2017-03-08T23:26:24Z,2017-03-08T23:31:48Z,16.5
huey,2017-03-08T23:32:40Z,2017-03-08T23:37:52Z,16.7
huey,2017-03-08T23:39:16Z,2017-03-08T23:44:56Z,17.5
huey,2017-03-08T23:45:56Z,2017-03-08T23:52:36Z,18.4
huey,2017-03-08T23:53:44Z,2017-03-08T23:56:52Z,18.7
huey,2017-03-08T23:59:16Z,2017-03-09T00:04:48Z,19.4
huey,2017-03-09T00:05:48Z,2017-03-09T00:09:00Z,19.8
huey,2017-03-09T00:11:32Z,2017-03-09T00:14:16Z,20.2
huey,2017-03-09T00:16:00Z,2017-03-09T00:21:48Z,20.7
huey,2017-03-09T00:22:52Z,2017-03-09T00:24:04Z,20.7
huey,2017-03-09T00:25:28Z,2017-03-09T00:27:32Z,20.8
huey,2017-03-09T00:29:28Z,2017-03-09T00:34:48Z,20.9
huey,2017-03-09T00:35:56Z,2017-03-09T00:39:20Z,20.8
huey,2017-03-09T00:41:16Z,2017-03-09T00:46:04Z,20.3
huey,2017-03-09T00:47:08Z,2017-03-09T00:50:20Z,20.1
huey,2017-03-09T00:51:08Z,2017-03-09T00:56:04Z,20.6
huey,2017-03-09T00:57:12Z,2017-03-09T01:00:24Z,21
huey,2017-03-09T01:02:20Z,2017-03-09T01:06:52Z,21.5
huey,2017-03-09T01:08:00Z,2017-03-09T01:13:48Z,21.8
huey,2017-03-09T01:14:52Z,2017-03-09T01:20:08Z,21.3
huey,2017-03-09T01:21:04Z,2017-03-09T01:26:20Z,20.8
huey,2017-03-09T01:27:20Z,2017-03-09T01:33:08Z,20.8
huey,2017-03-09T01:34:16Z,2017-03-09T01:39:32Z,20.4
huey,2017-03-09T01:40:28Z,2017-03-09T01:41:52Z,19.7
huey,2017-03-09T01:44:36Z,2017-03-09T01:49:08Z,19.4
huey,2017-03-09T01:50:16Z,2017-03-09T01:52:36Z,19
huey,2017-03-09T01:53:52Z,2017-03-09T01:54:08Z,4.2
huey,2017-03-09T01:55:04Z,2017-03-09T01:59:08Z,18.7
huey,2017-03-09T02:00:04Z,2017-03-09T02:04:04Z,18.2
